Id,Name,Occurrences,Interests
n2kdLOsAAAAJ,Maria C. Yang,1,"['Product design', 'Product development', 'Design representation', 'Human-Centered Design', 'Sustainable Design']"
Tr45FesAAAAJ,Yan Jin,1,"['Engineering Design', 'Multi-agent Systems', 'Project Management', 'Collaborative Engineering', 'Design Cognition']"
mw26gjAAAAAJ,Michael Marquardt,1,['Action Learning']
Ilqhh68AAAAJ,"David E. Sandberg, PhD",1,"['gender differences', 'disorders of sex development', 'short stature', 'growth hormone']"
XU1xaUIAAAAJ,Heather Royer,1,['Economics']
OTzKua0AAAAJ,Steve Woodfield,1,"['Higher Education Policy', 'International Higher Education', 'Leadership and Management in Higher Education']"
6C_ucKAAAAAJ,Tom Kennie,1,['leadership development']
pNXlS2kAAAAJ,Peter Shaw,2,['Collembola']
EmFk5UkAAAAJ,Chung-An Chen,1,"['public administration', 'public management', 'organizational theory', 'organizational behavior']"
kWSLQJgAAAAJ,Hal Rainey,1,"['public management', 'organization theory', 'organizational behavior']"
VAkhCzgAAAAJ,"Lynn Kysh, MLIS, MPP",1,"['Medical Librarianship', 'Systematic Reviews', 'Scoping Reviews']"
1JGKidkAAAAJ,Orin C. Davis,2,"['Self-Actualization', 'Optimal Experience (Flow)', 'Creativity', 'Mentoring', 'Hypnosis']"
vNx4Sz8AAAAJ,Sylvaine Castellano,1,"['Management', 'Institutional and competitive dynamics']"
I82sQs8AAAAJ,KHELLADI Insaf,1,"['Consumer behavior', 'Digital marketing', 'Human-technology interaction', 'Financial marketing']"
M0PUd4AAAAAJ,"Hamid Abdirad, Ph.D.",1,"['Digital Project Delivery', 'Building Information Modeling', 'Design Technology', 'Computational Design', 'Virtual Design and Constructio']"
N2VJmc8AAAAJ,Pardis Pishdad-Bozorgi,1,"['Integrated Project Delivery (IPD)', 'Trust-Building', 'Blockchain', 'Flash Tracking', 'Building Information Modeling (BIM)']"
7wb4YqkAAAAJ,Harald Dolles,1,"['Sport Management', 'International Business']"
qdw_1v0AAAAJ,Sten Söderman,1,"['International Business', 'Sport Management']"
iwFFsdIAAAAJ,David Mauger,1,"['biostatistics', 'clinical trials', 'asthma']"
uGK-PIwAAAAJ,David V. Day,1,"['leadership', 'leadership development', 'organizational behavior']"
bwYrDuIAAAAJ,Muhammed Kürşat Timuroglu,1,['Yönetim ve Organizasyon']
WaXbRGYAAAAJ,Patricia Browne-Ferrigno,1,['educational leadership']
XhVvaGMAAAAJ,"Lalena M Yarris, MD, MCR",1,"['Education Research', 'Feedback', 'Faculty Development']"
NNouqegAAAAJ,"Wendy C. Coates, MD",1,"['Emergency Medicine', 'medical education and research', 'mentoring', 'faculty development', 'dance medicine']"
wO8uh0UAAAAJ,"Michelle Lin, MD",1,"['Emergency Medicine', 'medical education', 'social media', 'innovative technologies']"
tO08lRIAAAAJ,Michael J. Peeters,1,['Assessment/psychometrics in pharmacy education']
63AIAnkAAAAJ,Varun Vaidya,1,[]
S7_O2ioAAAAJ,Ray Aldag,1,"['Behavioral Decision Making', 'Organizational Culture', 'Emotions at Work', 'Job Design', 'Group Decision Processes']"
6xBtOX8AAAAJ,Andre Nault,1,"['Veterinary Education', 'open-access']"
8zLSwaoAAAAJ,Dr. Siva Dorairaj,1,"['Software Engineering', 'Agile', 'eLearning']"
SSUL-D8AAAAJ,James Noble,1,"['Object-Orientation', 'Programming Languages', 'Software Engineering', 'Agile Software Development', 'Formal Methods']"
pcwY30MAAAAJ,JELENA LUKIĆ NIKOLIĆ,1,"['Organization Design', 'Organization Behavior']"
1AglcCIAAAAJ,이창길 Chang Kil Lee,1,"['Organization Theory', 'Human Resource Management', 'Government Reform', 'Network Analysis']"
hX-DErgAAAAJ,M. Jae Moon (문명재),1,"['public management', 'digital government', 'organization theory', 'comparative public administration']"
IQkj5L0AAAAJ,"Beth Ulrich, EdD, RN, FACHE, FAONL, FAAN",1,"['work environment', 'preceptors', 'transition to practice', 'nephrology']"
kNGp5YQAAAAJ,"LauraAnn Migliore, Ph.D.",2,"['Data Analytics/Big Data', 'Machine Learning', 'Cross-Cultural Competence', 'Leadership Development', 'Strategic HR']"
LUA1B4gAAAAJ,Tracy X. P. Zou,2,"['Higher Education', 'International Education']"
lLJFTP4AAAAJ,Natalie Coers,1,"['agricultural leadership', 'leadership development', 'international agriculture', 'study abroad']"
QPNS0ZgAAAAJ,James C Anderson II,1,['Agricultural Leadership Studies']
YOdS-TAAAAAJ,Mila Hakanen,2,[]
iEjy8p4AAAAJ,Eran Vigoda-Gadot,1,"['Public Administration', 'Public Management', 'Governance', 'Organizational Politics', 'Citizenship Behavior']"
yvv-7fEAAAAJ,Dana Vashdi,1,"['organizational behaviour', 'public administration']"
-LDA5ZUAAAAJ,Hassan Imam,1,"['Work behaviours', 'employability', 'careers', 'Leadership']"
UwsIz48AAAAJ,Jason Davies,1,[]
