Id,Name,Occurrences,Interests
q92UQgoAAAAJ,viktor freiman,1,"['mathematics education', 'creativity and giftedness', 'technolgy', 'interdisciplinarity', 'innovations in teaching and learning']"
NH0OXHoAAAAJ,Alain Fernandez,1,"['Management', 'Prise de Décision', 'Mesure de la Performance']"
PsETBDkAAAAJ,James R. Calvin,1,"['leadership', 'diversity management', 'community development']"
9w2QZgwAAAAJ,Daniel Ojuka,1,['Breast and Endocrine Surgery']
QRV2wZwAAAAJ,Christian Jacobsson,1,[]
ZSWQ50wAAAAJ,Toon Abcouwer,1,"['organisational change', 'resilience', 'information management']"
BEzmuqYAAAAJ,Linnea Lyding,1,"['Embodied Cognition', 'movement in education']"
XncuVOMAAAAJ,Laurie Wellner,1,['Special Education/Educational Leadership']
r5aXi0EAAAAJ,Suzann Girtz,1,"['education', 'teaching', 'school change', 'reform', 'assessment']"
CdvS_WYAAAAJ,Trevor N. Fry,1,"['People Analytics', 'Industrial/Organizational Psychology', 'Employee Retention', 'KPI Goal Setting', 'Team Effectiveness']"
_JYUCtgAAAAJ,Jessica L. Wildman (Wildones),1,"['diversity', 'DEI', 'culture', 'trust', 'teams']"
I_-JewQAAAAJ,Claudia Nagel,1,[]
8hz733cAAAAJ,Kim C. Graber,1,"['physical education', 'pedagogy']"
-5WOJccAAAAJ,wojtek chodzko-zajko,1,['Physical activity and public health']
y8tRSRkAAAAJ,David Rhys Axon,1,"['Pharmacy', 'Health Economics and Outcomes Research']"
T9un9vgAAAAJ,Terri Warholak,1,[]
Kv0WYnEAAAAJ,John Hertig,1,"['Patient Safety', 'Leadership', 'Innovation']"
jmTm7ZgAAAAJ,Kevin Black,1,['Experimental High Energy Physics']
vIBF7sUAAAAJ,Jonathan Passmore,1,"['Coaching', 'psychology', 'leadership', 'change']"
4XBWi_wAAAAJ,Monica Vela,1,"['medical education', 'cultural competency', 'diversity', 'disparities', 'health']"
huR3mk0AAAAJ,Susan K. Fan,1,"['Organizational Leadership', 'Leader/Follower Relationships', 'Immigrant Family Reseach.']"
gVln19QAAAAJ,Sukma Putra,1,"['Leadership', 'Management']"
C-Ip7oUAAAAJ,Sarah Mares,1,"['perinatal/ infant child & family mental health', 'complex trauma', 'refugees asylum seekers', 'human rights']"
ziSHPvUAAAAJ,Gary Robinson,1,"['Aboriginal families', 'early intervention', 'parenting', 'youth suicide']"
7k45T8YAAAAJ,Mike Voight,1,"['leadership', 'mental toughness', 'team building']"
jx4G7QgAAAAJ,Erik Jones,1,"['Europe', 'Political Economy', 'Transatlantic Relations']"
_WrK108AAAAJ,Dongsheng Li,1,"['Distributed Computing', 'Parallel Computing', 'Cloud Computing', 'Peer-to-Peer  Computing', 'Big Data']"
v_hXlGYAAAAJ,Leonard Momeny,1,"['leadership', 'field theory', 'christian studies', 'and space studies']"
D2vsiCEAAAAJ,Mariana Usheva,1,"['Управление на човешките ресурси', 'управленска психология', 'лидерство', 'у']"
jjw-LWMAAAAJ,Gene Kim,1,"['DevOps', 'information security', 'continuous delivery', 'accounting', 'finance']"
MoAkIU4AAAAJ,Jez Humble,1,"['Software Engineering', 'Software Testing']"
vis0ZxUAAAAJ,Nicole Forsgren,1,"['DevOps', 'productivity', 'IT use & impacts', 'knowledge management & kms']"
npFamNwAAAAJ,"Emre Erbaş, PhD.",1,"['Managerial Economics', 'Strategizing', 'Mixed-Methods', 'Institutionalism', 'Sociology']"
Bh3iD2oAAAAJ,Nilüfer Şahin Perçin,1,[]
oDZuCLcAAAAJ,Bernardo Nicoletti,1,"['Lean Thinking', 'Procurement', 'Financial Services', 'Artificial Intelligence', 'Cybersecurity']"
CE0-r5YAAAAJ,Danijela Lalic,1,"['Business Communication', 'Public Relations', 'Marketing']"
n8bSjBkAAAAJ,Lindsey Baker (Walker),1,"['Interior Design', 'Workplace Design', 'Communication Networks']"
t2neqyMAAAAJ,"Robert T Palmer, Ph.D.",1,"['Black males', 'HBCUs', 'minoritized students in higher education', 'college access and success', 'MSIs']"
SIGgIjMAAAAJ,Andrew T. Arroyo,1,[]
-wZml5IAAAAJ,"Alonzo M. Flowers III, PhD",1,"['Men of Color', 'STEM Education', 'Academic identity development']"
7DWWWZ8AAAAJ,Pravir Malik,2,"['Complex Adaptive Systems', 'Cosmology of Light', 'Mathematics of Innovation', 'Organizational Development', 'Fractals']"
E7stYmIAAAAJ,Steve Cardwell,1,"['student engagement', 'student voice', 'leadership']"
YnQK7ZMAAAAJ,Angela N. Spranger,1,"['Antisocial workplace behavior', 'emotional intelligence', 'women in leadership', 'followership', 'organizational engagement']"
4fWdbB4AAAAJ,Dory Quinn,1,['Social Work']
aJGeInwAAAAJ,Memoona Hasnain,1,"['Social Justice', 'Health Equity', 'Health Workforce Development', 'Patient-centered Care', 'Humanism']"
tAjQegMAAAAJ,Terry Adler,1,"['Strategic Management', 'Project Management', 'Inter-Firm Governance']"
JXxsyNIAAAAJ,"Thomas G. Pittz, Ph.D.",1,"['Entrepreneurship', 'Strategy', 'Innovation']"
u1W1AYkAAAAJ,Lotta Andersson,1,"['water', 'climate', 'participation']"
k6bUYjcAAAAJ,Leon Pretorius,1,"['Engineering and Technology Management', 'Mechanical Engineering', 'System Dynamics', 'Energy']"
FedfczoAAAAJ,Laura Senn,1,[]
aam_tokAAAAJ,Jacques Neatby,2,['Leadership teams']
NPGQJiMAAAAJ,Caroline Aubé,2,"['Team effectiveness', 'counterproductive behaviors', 'leadership']"
cX3gQXwAAAAJ,Eugenia Beh,1,"['scholarly communications', 'licensing', 'electronic resources', 'library and information science']"
02IYfxMAAAAJ,Peter Mallory,1,[]
11vo6ckAAAAJ,Laura Eramian,1,"['Rwanda', 'personhood', 'political violence', 'political anthropology', 'anthropology of friendship']"
0QxGenMAAAAJ,Doug Reeve,1,['engineering leadership']
-cls0p0AAAAJ,Woralak Bancha,1,"[""Teacher' s beliefs"", 'teacher cognition', 'vocabulary', 'English as an International Language']"
xu_JHsQAAAAJ,Bas Flipsen,1,"['sustainability', 'design', 'repair', 'circular', 'energy']"
i7zitooAAAAJ,Nigel Pegram,1,"['Stress and Burnout', 'Emotional Intelligence', 'Old Testament', 'Hebrew Bible', 'Christian Ministry']"
GLloTS8AAAAJ,Alex Grasas,1,"['Agile', 'Operations', 'Lean Health']"
ubqrmt8AAAAJ,Heni Sukrisno,1,['Pendidikan Matematika dan Management Pendidikan']
HrCFRV8AAAAJ,Adam Sulich,1,"['statistics', 'green jobs', 'green economy', 'pro-ecological management', 'labour market']"
MmguK-8AAAAJ,Azwar Hamid,1,['Islamic Banking']
RsySHIkAAAAJ,Christo Bisschoff,1,"['Marketing', 'management', 'agriculture', 'ethics', 'farming']"
CQVrml4AAAAJ,Lucy Leclerc,1,"['Leadership', 'Theory', 'Professional Development']"
HXqrWgEAAAAJ,"David A. Willis, Ph.D.",1,"['laser ablation', 'laser micromachining', 'microfluidics', 'heat transfer', 'laser-induced forward transfer']"
aUtukf4AAAAJ,Sergio f. Ochoa,1,"['Mobile and Ubiquitous Computing', 'Socio-technical Systems', 'Software Engineering']"
dmj_gE4AAAAJ,José A. Pino,1,"['Human-Computer Interaction', 'Process Modeling', 'Expert Systems']"
BP7BUQcAAAAJ,Olivier Serrat,1,"['Knowledge Management', 'Evaluation', 'Organizational Effectiveness', 'Organizational Leadership', 'Strategic Planning']"
q8NSNugAAAAJ,Barry L Taylor,1,"['Aerotaxis', 'Oxygen Receptors', 'PAS', 'HAMP', 'Microbiology']"
w9BrfOUAAAAJ,Viviane M J Robinson,1,['Educational Leadership']
K2sVKgIAAAAJ,Claire Sinnema,1,[]
IbqfdvIAAAAJ,Kimy Liu,1,"['Special Education', 'Reading', 'Teacher Preparation']"
6k2yZo0AAAAJ,"Kevin C. Chung, MD, MS",1,"['Surgery', 'Clinical Decision Making', 'Epidemiology', 'Healthcare Outcomes Research', 'Health Policy']"
X-YCorUAAAAJ,Darlaine Jantzen,1,"['nursing', 'post-secondary education', 'organizational change', 'workplace learning']"
KgZF02kAAAAJ,Kathleen M Brown,2,['educational leadership']
uf0RYKgAAAAJ,LaTricia Townsend,2,[]
X9vrWX4AAAAJ,Shanyce L. Campbell,2,"['Educational Inequities', 'Mixed Methods Research', 'Teacher Evaluation Systems', 'Teacher Effectiveness']"
d2pXGGgAAAAJ,swati patnaik,1,['dentistry']
QgfJFCEAAAAJ,Stuart C Mendel,1,"['Nonprofit and philanthropy studies', 'nonprofit management and leadership', 'civil society', 'community building', 'social enterprise']"
E9FHcfcAAAAJ,Yun Pan（潘云）,1,"['Groundwater recharge', 'Remote sensing', 'Modelling']"
1uiA5esAAAAJ,"Lenny van Onselen, MSc",1,"['codesign', 'values', 'junior designers']"
p1wLPXMAAAAJ,Brian W. Miller,1,"['Science Learning', 'Conceptual Change', 'Discussion', 'Argumentation', 'Emotion']"
8FT4lsEAAAAJ,LUIS ENRIQUE ALONSO BENITO,1,"['sociología del consumo', 'sociología del empleo', 'sociología económica', 'métodos cualitativos de investigación social', 'estudio']"
HlLH-MYAAAAJ,Carlos Jesús Fernández Rodríguez,1,"['sociología', 'relaciones industriales', 'critical management studies']"
YxMEOPAAAAAJ,Gloria Rosati Peterson,1,['Education']
UX8Q3b4AAAAJ,Michael Brenner,1,"['facial nerve', 'nerve regeneration', 'plastic surgery', 'rhinoplasty', 'facial reconstruction']"
rDEsGRMAAAAJ,Katarzyna Piwowar-Sulej,1,"['zarządzanie zasobami ludzkimi (human resources management)', 'zarządzanie projektami (project management)', 'innowacje (innovation']"
NS5mk_YAAAAJ,Ayodeji Emmanuel Oke,1,"['Sustainable Infrastructure Management', 'Digital Construction', 'Quantity surveying', 'Sustainable construction', 'Value management']"
EzRMCVQAAAAJ,Clinton Aigbavboa,1,"['Building', 'Construction Digitalisation', 'Value Management', 'Quantity Surveying', 'Construction Industry Development']"
RSG8HC4AAAAJ,MIchael Langemeier,1,"['farm management', 'agricultural finance']"
8feBiSIAAAAJ,Angie Moussa,1,[]
8lRh5kEAAAAJ,Yanfen Li,1,"['Biomaterials', 'Tissue Engineering', 'Engineering Education']"
YQvYrzoAAAAJ,Tomaz Berlec,1,"['lean production', 'agile and leagile production', 'teamwork', 'material flow optimisation', 'production planning and control systems']"
9T-EQhUAAAAJ,KAMRAN SATTAR,1,"['Professionalism', 'Student Well-being', 'Mentoring', 'Assessment', 'Teaching & Learning']"
Io8KzKAAAAAJ,Muhamad Saiful Bahri Yusoff,1,"['Medical Education', 'Validity', 'Medical Student Well Being', 'Psychometric', 'Assessment']"
NwG5x44AAAAJ,Trond Haga,1,"['Social studies - sociotechnical system', 'action research', 'industrial relations']"
X6znsd4AAAAJ,Bita Parsa (PhD ),1,['Human Resource Development']
Sd_Ti6AAAAAJ,Maria Aghazarian,2,[]
phisloAX-GsJ,Anjana  H. Bhatt,2,"['E-resouces', 'ERMS', 'Open Access', 'License Negotiations']"
H2Cm-PEAAAAJ,Eric Camburn,2,"['Professional Learning', 'School Improvement', 'Urban Education', 'Leadership', 'Survey Research']"
u4V0gOAAAAAJ,Christian Pulcini,1,"['Pediatrics', 'Policy', 'Advocacy', 'Social Justice']"
KlRzxl8AAAAJ,AJ de Bruyn,1,"['Human Resource Management', 'High Performance Working Arrangements', 'labour relations']"
SE1EZnUAAAAJ,Dino Villegas,1,"['Auto-Netnography', 'Netnography', 'IMC', 'Social Media', 'Hispanic Marketing']"
9Q0fAUQAAAAJ,Alexandra V. Radyuk (Александра Владимировна Радюк),1,"['speech strategies', 'business discourse', 'речевые стратегии', 'деловой дискурс']"
